"contextMap.casinoName: Descending" 	 Total
"PP_Klas_Gaming_Jestbahis" 	 2
"PP_Kindred_Group_Unibet_UK" 	 13
"PP_Kindred_Group_Unibet_HU" 	 177
"PP_Kindred_Group_Unibet_CA" 	 149
"PP_Kindred_Group_Unibet.com" 	 298
"PP_Kaisar_Gaming" 	 4
"PP_K7_togel86" 	 9
"PP_Jumpman_AM" 	 4
"PP_JXIT_Siam28" 	 1
"PP_JSR_Genting" 	 2
"PP_JSD_Xsuerte" 	 72
"PP_Istanaimpian_WUATB" 	 57
"PP_Interwetten_SW" 	 37
"PP_Inplaynet_mystake" 	 622
"PP_Infiniza_Mountgold" 	 13
"PP_IGC-CASUMO_Dunder" 	 25
"PP_IDNPlay_IDNSEAMLESS_IDNSPORT_LD" 	 7178
"PP_Hub88_PlayLive_EU" 	 78
"PP_Hub88_Asia" 	 449
"PP_Hongtu_Hongtubet" 	 4
"PP_Hero_Gaming_PureCasino" 	 286
"PP_Hero_Gaming_CasiTabi" 	 454
"PP_Hero_Gaming_Boom_Casino_MGA" 	 50
"PP_HXT_LT1" 	 352
"PP_HWIN168_happyhappy88" 	 1
"PP_HW168_kaya711" 	 2
"PP_HW168_judiharimau" 	 1
"PP_HKB_TTB" 	 1050
"PP_HKB_TPK" 	 502
"PP_HKB_TGM" 	 77
"PP_HKB_RGP" 	 79
"PP_HKB_RGB" 	 134
"PP_HKB_JPK" 	 220
"PP_HKB_IDT" 	 680
"PP_HKB_HRP" 	 142
"PP_HKB_HK5" 	 106
"PP_HKB_GTP" 	 84
"PP_HKB_GTG" 	 258
"PP_HKB_EYP" 	 162
"PP_HKB_BYP" 	 49
"PP_HKB_BTP" 	 152
"PP_HKB_BRO" 	 66
"PP_HKB_AHA" 	 133
"PP_HKB_AFP" 	 45
"PP_HKB_80S" 	 129
"PP_Groove_gaming_Transgol" 	 322
"PP_GplayG_DGBET" 	 180
"PP_Globonet_Playfortuna" 	 478
"PP_Globonet_Booi" 	 73
"PP_GamingTec_trbet" 	 2
"PP_GamingTec_bettilt" 	 93
"PP_GamingTec_bahsegel" 	 3
"PP_Fortunejack_Fortunejack" 	 11
"PP_Finnplay_SW_SLotjoint" 	 4
"PP_Finnplay_SW_Princess_Casino" 	 279
"PP_FULL10_full10.com" 	 295
"PP_Exefeed_Oktagonbet" 	 65
"PP_Exefeed_LOB" 	 52
