filters,"contextMap.casinoName: Descending",Total,avg,max,Median
Casino,"PP_Rootz_Caxino",7,127,373,116
Casino,"PP_Riverplay_Brixcor",563,"92.38898756660745",1451,36
Casino,"PP_RWB_YesBet88",297,"454.5791245791246",1187,"298.6666666666667"
Casino,"PP_Prize4D",4942,"322.9378794010522",2016,"300.675"
Casino,"PP_Pomadorro_joycasino",375,"59.029333333333334",504,37
Casino,"PP_Pomadorro_casino-x",31,"63.70967741935484",249,29
Casino,"PP_Playdome_pokerdom",221,"80.75113122171946",252,42
Casino,"PP_Pixelo_Overplus",8,"91.625",347,"53.5"
Casino,"PP_Pay4D2",7751,"589.6105018707264",2770,317
Casino,"PP_Pay4D",7208,"518.7828801331854",1973,"305.60526315789474"
Casino,"PP_PUBGBET_PUBGSA666",148,"333.4189189189189",931,295
Casino,"PP_PPKP_IG",1,326,326,326
Casino,"PP_PKC_ONL",2,"1883.5",3530,"1883.5"
Casino,"PP_PKC_GXY",91,"1318.1208791208792",4021,318
Casino,"PP_PKC_C88",49,"1345.8163265306123",3679,301
Casino,"PP_PKC_A99",165,"680.3757575757576",3527,294
Casino,"PP_PAPAYABET_PAPAYABET333",20,"326.2",534,293
Casino,"PP_P2Play_super88",120,"347.76666666666665",1474,312
Casino,"PP_Oneworks_Nova88",2,411,464,411
Casino,"PP_Oneworks_BKC",1,330,330,330
Casino,"PP_Ole777_Ole777",16,"313.9375",380,"318.5"
Casino,"PP_OWL_IN_bons.com",153,"56.130718954248366",247,38
Casino,"PP_ORYX_Native_KTO",79,"251.73417721518987",3887,40
Casino,"PP_ORYX_Native_BalkanBet",63,"176.68253968253967",688,229
Casino,"PP_OPSport",7,"363.42857142857144",432,387
Casino,"PP_NukeGaming",820,"343.10853658536587",1344,309
Casino,"PP_N2O_INDOTIPSTERS",11,356,928,246
Casino,"PP_MrGreen_OPS",254,"276.2834645669291",1272,"80.66666666666667"
Casino,"PP_Mozzartbet_MozzartBet_Romania",84,"135.39285714285714",888,32
Casino,"PP_Mozzartbet_Malta",77,"239.19480519480518",883,43
Casino,"PP_Mozzartbet_Kenya",1421,"217.08374384236453",1106,"49.90416666666667"
Casino,"PP_Mozzartbet",2299,"173.13223140495867",2069,36
Casino,"PP_MozzartBet_Bosnia",435,"177.13333333333333",995,33
Casino,"PP_Marathonbet",487,"288.2464065708419",724,453
Casino,"PP_Mansion_M88LC",9563,"330.3064937781031",3813,"247.95884844322342"
Casino,"PP_MafiaYLB_YLB1234",155,"352.2",1286,201
Casino,"PP_MTech_RUM",1,546,546,546
Casino,"PP_MTech_NCS",232,"337.375",894,"282.5"
Casino,"PP_MTech_LDR",418,"300.49043062200957",719,243
Casino,"PP_MTech_KSP_s",105,"396.0571428571429",1717,244
Casino,"PP_MTech_KSD_s",205,"359.5317073170732",2489,244
Casino,"PP_MTech_HW_s",346,"330.5",1023,"280.9166666666667"
Casino,"PP_MPOPLAY_QQDewa_BT_LC",27,"610.1851851851852",863,715
Casino,"PP_MIMI_Mimi2",11,"288.09090909090907",586,229
Casino,"PP_MC_Group_MC99BET",48,"327.8125",1048,"308.5"
Casino,"PP_Luckyland_retrobet_LC",217,"80.06912442396313",428,42
Casino,"PP_Luckyland_maksatbahis_LC",70,"64.34285714285714",319,38
Casino,"PP_Luckyland_efsanebahis_LC",270,"82.61851851851851",1147,41
Casino,"PP_Luckyland_betlima_LC",178,"67.23595505617978",393,39
Casino,"PP_Luckyland_bahissenin_LC",66,"78.81818181818181",356,37
Casino,"PP_Luckyland_Colonybet_LC",12,"111.91666666666667",429,59
