"PP_1win_1win"  3084
"PP_1xBet_22bet"  1197
"PP_1xBet"  35432
"PP_1xBet_betwinner"  1598
"PP_1xBet_melbet"  1091
"PP_396club_UG396"  860
"PP_888_Casino_888_Casino_-_COM"  3205
"PP_888_Casino_888_Casino_UK"  1776
"PP_Alpha_Marsbahis"  4412
"PP_Avento_AventoNV"  397
"PP_Betbuq_Playlogiq"  824
"PP_Betflag_betflag.it"  273
"PP_Betstudios_Superbetin"  850
"PP_BlueOceanGaming_BOG_SW3"  3075
"PP_Everymatrix_Jojobet"  1430
"PP_Globonet_Playfortuna"  427
"PP_JSD_Xsuerte"  381
"PP_Mansion_M88LC"  1754
"PP_Marathonbet"  583
"PP_Mozzartbet"  2009
"PP_Mozzartbet_Kenya"  1361
"PP_Pay4D2"  2240
"PP_Pay4D"  3006
"PP_Prize4D"  719
"PP_Sekabet"  1890
"PP_Softswiss_betstar_SW"  362
"PP_Softswiss_upx_SW"  360
"PP_Softswiss_Vavada_SW"  1036
"PP_SOLID_EMPIRE_Empire"  516
"PP_SOLID_RDGE_VeraJohn"  662
"PP_SOLID_SW_10BET"  463
"PP_Tekhou5_Roobet"  1958
"PP_Voidbridge_dafa"  67
