"PP_1xBet" 	 33915
"PP_Pay4D" 	 6079
"PP_Pay4D2" 	 6143
"PP_WISE_KNIGHT_LIMITED_998v2" 	 2658
"PP_Mansion_M88LC" 	 6917
"PP_1win_1win" 	 651
"PP_396club_UG396" 	 1868
"PP_Prize4D" 	 3831
"PP_Softswiss_betstar_SW" 	 324
"PP_Alpha_Marsbahis" 	 680
"PP_Mozzartbet" 	 817
"PP_BlueOceanGaming_BOG_SW3" 	 694
"PP_SOLID_SW_10BET" 	 908
"PP_1xBet_melbet" 	 784
"PP_SOLID_RDGE_VeraJohn" 	 1587
"PP_1xBet_22bet" 	 464
"PP_Mozzartbet_Kenya" 	 216
"PP_Tekhou5_Roobet" 	 5026
"PP_Everymatrix_Jojobet" 	 824
"PP_Sekabet" 	 792
"PP_888_Casino_888_Casino_-_COM" 	 3723
"PP_1xBet_betwinner" 	 195
"PP_Betbuq_Playlogiq" 	 48
"PP_Marathonbet" 	 71
"PP_Avento_AventoNV" 	 309
"PP_888_Casino_888_Casino_UK" 	 1056
"PP_Softswiss_upx_SW" 	 15
"PP_Globonet_Playfortuna" 	 465
"PP_SOLID_EMPIRE_Empire" 	 219
"PP_Softswiss_Vavada_SW" 	 804
"PP_Betflag_betflag.it" 	 180
"PP_Betstudios_Superbetin" 	 99
"PP_JSD_Xsuerte" 	 1219
"PP_Voidbridge_dafa" 	 235
"PP_MTech_HW_s" 	 206
"PP_Solid_Afun_Happy_Luke" 	 122
"PP_Skill_On_Net_COM" 	 452
"PP_LeoVegas" 	 1079
"PP_NukeGaming" 	 333
"PP_VWIN_VWIN" 	 292
"PP_Inplaynet_mystake" 	 53
"PP_LeoVegas_Group_LeoVegas-SE" 	 101
"PP_Riverplay_Brixcor" 	 174
